BEDSCode,recType,name,currentCounts_onSitePositiveStudents,currentCounts_onSitePositiveTeachers,currentCounts_onSitePositiveStaff,StreetAddress,City,State,Zip+4,longitude,latitude
310200010276,Public,BATTERY PARK CITY SCHOOL,0,0,0,55 BATTERY PL,NEW YORK,NY,10011,-74.017456,40.706384
310200010281,Public,RIVER SCHOOL (THE),0,0,0,425 E 35TH ST,NEW YORK,NY,10016,-73.972592,40.744288
310200010289,Public,IS 289,0,0,0,201 WARREN ST,NEW YORK,NY,10282,-74.013967,40.71701
310200010290,Public,PS 290 MANHATTAN NEW SCHOOL,0,0,0,311 E 82ND ST,NEW YORK,NY,100284103,-73.952777,40.775181
310200010297,Public,MS 297,0,0,0,75 MORTON ST,NEW YORK,NY,10014,-74.007192,40.731006
310200010312,Public,NYC LAB MS FOR COLLABORATIVE STUDIES,0,0,0,333 W 17TH ST,NEW YORK,NY,10011,-74.002222,40.742512
310200010340,Public,SIXTH AVENUE ELEMENTARY SCHOOL,0,0,0,64 W 17TH ST,NEW YORK,NY,10011,-73.995534,40.739145
310200010340,Public,SIXTH AVENUE ELEMENTARY SCHOOL,0,0,0,64 W 17TH ST,NEW YORK,NY,10011,-73.995534,40.739145
310200010343,Public,PECK SLIP SCHOOL (THE),0,0,0,1 PECK SLIP,NEW YORK,NY,10038,-74.002407,40.708774
310200010347,Public,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),0,0,0,223 E 23RD ST,NEW YORK,NY,10010,-73.981329,40.738374
310200010397,Public,SPRUCE STREET SCHOOL,0,0,0,12 SPRUCE ST,NEW YORK,NY,10018,-74.005473,40.711321
310200010412,Public,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,0,0,0,333 W 17TH ST,NEW YORK,NY,10011,-74.002222,40.742512
310200010413,Public,SCHOOL OF THE FUTURE HIGH SCHOOL,0,0,0,127 E 22ND ST,NEW YORK,NY,10010,-73.985323,40.739121
310200010414,Public,NYC MUSEUM SCHOOL,0,0,0,333 W 17TH ST,NEW YORK,NY,10011,-74.002222,40.742512
310200010416,Public,ELEANOR ROOSEVELT HIGH SCHOOL,0,0,0,411 E 76TH ST,NEW YORK,NY,10021,-73.953276,40.770288
310200010418,Public,MILLENNIUM HIGH SCHOOL,0,0,0,75 BROAD ST,NEW YORK,NY,10004,-74.011202,40.704697
310200010527,Public,PS 527 EAST SIDE SCHOOL FOR SOCIAL ACTION,0,0,0,323 E 91ST ST,NEW YORK,NY,10128,-73.947856,40.780652
310200010896,Public,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,0,0,0,26 BROADWAY,NEW YORK,NY,10004,-74.013303,40.705688
310200010896,Public,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,0,0,0,26 BROADWAY,NEW YORK,NY,10004,-74.013303,40.705688
310200010933,Public,CITY KNOLL MIDDLE SCHOOL,0,0,0,440W 53RD ST,NEW YORK,NY,10019,-73.989776,40.76588
310200011135,Public,URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT (THE),0,0,0,411 PEARL ST,NEW YORK,NY,10038,-74.000851,40.711441
310200011139,Public,STEPHEN T MATHER BUILDING ARTS AND CRAFTMANSHIP HIGH SCHOOL,0,0,0,439 W 49TH ST,NEW YORK,NY,10019,-73.990318,40.763655
310200011225,Public,ELLA BAKER SCHOOL,0,0,0,317 E 67TH ST,NEW YORK,NY,10021,-73.959777,40.765638
310200011280,Public,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,0,0,0,411 PEARL ST,NEW YORK,NY,10038,-74.000851,40.711441
310200011282,Public,URBAN ASSEMBLY MAKER ACADEMY,0,0,0,411 PEARL ST,NEW YORK,NY,10038,-74.000851,40.711441
310200011288,Public,FOOD AND FINANCE HIGH SCHOOL,0,0,0,525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011294,Public,ESSEX STREET ACADEMY,0,0,0,350 GRAND ST,NEW YORK,NY,10002,-73.989329,40.717329
310200011296,Public,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,0,0,0,525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011298,Public,PACE HIGH SCHOOL,0,0,0,100 HESTER ST,NEW YORK,NY,10002,-73.993607,40.716231
310200011300,Public,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,0,0,0,525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011303,Public,FACING HISTORY SCHOOL (THE),0,0,0,525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011305,Public,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,0,0,0,350 GRAND ST,NEW YORK,NY,10002,-73.989329,40.717329
310200011308,Public,LOWER MANHATTAN ARTS ACADEMY,0,0,0,350 GRAND ST,NEW YORK,NY,10002,-73.989329,40.717329
310200011313,Public,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LRNING,0,0,0,351 W 18TH ST,NEW YORK,NY,10011,-74.00254,40.743407
310200011316,Public,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,0,0,0,26 BROADWAY,NEW YORK,NY,10004,-74.013303,40.705688
310200011316,Public,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,0,0,0,26 BROADWAY,NEW YORK,NY,10004,-74.013303,40.705688
310200011374,Public,GRAMERCY ARTS HIGH SCHOOL,0,0,0,40 IRVING PL,NEW YORK,NY,10003,-73.987064,40.735361
310200011376,Public,NYC ISCHOOL,0,0,0,131 AVE OF THE AMERICAS,NEW YORK,NY,10013,-74.005058,40.72463
310200011392,Public,MANHATTAN BUSINESS ACADEMY,0,0,0,351 W 18TH ST,NEW YORK,NY,10011,-74.00254,40.743407
310200011393,Public,BUSINESS OF SPORTS SCHOOL,0,0,0,439 W 49TH ST,NEW YORK,NY,10019,-73.990318,40.763655
310200011394,Public,EMMA LAZARUS HIGH SCHOOL,0,0,0,100 HESTER ST,NEW YORK,NY,10002,-73.993607,40.716231
310200011399,Public,HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE),0,0,0,40 IRVING PL,NEW YORK,NY,10003,-73.987064,40.735361
310200011400,Public,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,0,0,0,444 W 56TH ST,NEW YORK,NY,100193602,-73.98861,40.767848
310200011400,Public,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,0,0,0,444 W 56TH ST,NEW YORK,NY,100193602,-73.98861,40.767848
310200011407,Public,INSTITUTE FOR COLLABORATIVE EDUCATION,0,0,0,345 E 15TH ST,NEW YORK,NY,10003,-73.98259,40.732665
310200011408,Public,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,0,0,0,328 W 48TH ST,NEW YORK,NY,100361302,-73.988665,40.761327
310200011411,Public,BARUCH COLLEGE CAMPUS HIGH SCHOOL,0,0,0,55 E 25TH ST,NEW YORK,NY,10010,-73.985723,40.741888
310200011419,Public,LANDMARK HIGH SCHOOL,0,0,0,351 W 18TH ST,NEW YORK,NY,10011,-74.00254,40.743407
310200011420,Public,HIGH SCHOOL FOR HEALTH PROFESSIONS,0,0,0,345 E 15TH ST,NEW YORK,NY,100034002,-73.98259,40.732665
