BEDSCode,school_name,address,city,state,zip,longitude,latitude
310200010212,PS 212 MIDTOWN WEST,328 W 48TH ST,NEW YORK,NY,10036,-73.988665,40.761327
310200010217,PS/IS 217 ROOSEVELT ISLAND,645 MAIN ST,ROOSEVELT ISLAND,NY,10044,-73.956435,40.753598
310200010234,PS 234 INDEPENDENCE SCHOOL,292 GREENWICH ST,NEW YORK,NY,100071001,-74.01088,40.71953
310200010255,MS 255 SALK SCHOOL OF SCIENCE,320 E 20TH ST,NEW YORK,NY,10003,-73.981536,40.735328
310200010255,MS 255 SALK SCHOOL OF SCIENCE,320 E 20TH ST,NEW YORK,NY,10003,-73.981536,40.735328
310200010260,CLINTON SCHOOL (THE),10 E 15TH ST,NEW YORK,NY,10003,-73.992727,40.736526
310200010267,EAST SIDE ELEMENTARY-PS 267,213 E 63RD ST,NEW YORK,NY,10065,-73.963861,40.763883
310200010276,BATTERY PARK CITY SCHOOL,55 BATTERY PL,NEW YORK,NY,10011,-74.017456,40.706384
310200010281,RIVER SCHOOL (THE),425 E 35TH ST,NEW YORK,NY,10016,-73.972592,40.744288
310200010289,IS 289,201 WARREN ST,NEW YORK,NY,10282,-74.013967,40.71701
310200010290,PS 290 MANHATTAN NEW SCHOOL,311 E 82ND ST,NEW YORK,NY,100284103,-73.952777,40.775181
310200010297,MS 297,75 MORTON ST,NEW YORK,NY,10014,-74.007192,40.731006
310200010312,NYC LAB MS-COLLABORATIVE STUDIES,333 W 17TH ST,NEW YORK,NY,10011,-74.002222,40.742512
310200010340,SIXTH AVENUE ELEMENTARY SCHOOL,64 W 17TH ST,NEW YORK,NY,10011,-73.995534,40.739145
310200010340,SIXTH AVENUE ELEMENTARY SCHOOL,64 W 17TH ST,NEW YORK,NY,10011,-73.995534,40.739145
310200010343,PECK SLIP SCHOOL (THE),1 PECK SLIP,NEW YORK,NY,10038,-74.002407,40.708774
310200010347,47 AMER SIGN LANG & ENG LOWER,223 E 23RD ST,NEW YORK,NY,10010,-73.981329,40.738374
310200010397,SPRUCE STREET SCHOOL,12 SPRUCE ST,NEW YORK,NY,10018,-74.005473,40.711321
310200010412,NYC LAB HS-COLLABORATIVE STUDIES,333 W 17TH ST,NEW YORK,NY,10011,-74.002222,40.742512
310200010413,SCHOOL OF THE FUTURE HIGH SCHOOL,127 E 22ND ST,NEW YORK,NY,10010,-73.985323,40.739121
310200010414,NYC MUSEUM SCHOOL,333 W 17TH ST,NEW YORK,NY,10011,-74.002222,40.742512
310200010416,ELEANOR ROOSEVELT HIGH SCHOOL,411 E 76TH ST,NEW YORK,NY,10021,-73.953276,40.770288
310200010418,MILLENNIUM HIGH SCHOOL,75 BROAD ST,NEW YORK,NY,10004,-74.011202,40.704697
310200010527,PS 527 EAST SIDE SCHOOL-SOCIAL ACTIO,323 E 91ST ST,NEW YORK,NY,10128,-73.947856,40.780652
310200010896,LOWER MANHATTAN COM MIDDLE SCHOOL,26 BROADWAY,NEW YORK,NY,10004,-74.013303,40.705688
310200010896,LOWER MANHATTAN COM MIDDLE SCHOOL,26 BROADWAY,NEW YORK,NY,10004,-74.013303,40.705688
310200010933,CITY KNOLL MIDDLE SCHOOL,440W 53RD ST,NEW YORK,NY,10019,-73.989776,40.76588
310200011135,URBAN ASSEMBLY-EMERGENCY MANAGEMENT,411 PEARL ST,NEW YORK,NY,10038,-74.000851,40.711441
310200011139,STEPHEN T MATHER BLDG ARTS-CRAFTSMAN,439 W 49TH ST,NEW YORK,NY,10019,-73.990318,40.763655
310200011225,ELLA BAKER SCHOOL,317 E 67TH ST,NEW YORK,NY,10021,-73.959777,40.765638
310200011280,MANHATTAN EARLY COLLEGE SCH-ADVERTIS,411 PEARL ST,NEW YORK,NY,10038,-74.000851,40.711441
310200011282,URBAN ASSEMBLY MAKER ACADEMY,411 PEARL ST,NEW YORK,NY,10038,-74.000851,40.711441
310200011288,FOOD AND FINANCE HIGH SCHOOL,525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011294,ESSEX STREET ACADEMY,350 GRAND ST,NEW YORK,NY,10002,-73.989329,40.717329
310200011296,HIGH SCHOOL OF HOSPITALITY MGMNT,525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011298,PACE HIGH SCHOOL,100 HESTER ST,NEW YORK,NY,10002,-73.993607,40.716231
310200011300,URBAN ASSMBLY SCH-DESIGN & CONST,525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011303,FACING HISTORY SCHOOL (THE),525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011305,URBAN ACADEMY-GOVERNMENT & LAW,350 GRAND ST,NEW YORK,NY,10002,-73.989329,40.717329
310200011308,LOWER MANHATTAN ARTS ACADEMY,350 GRAND ST,NEW YORK,NY,10002,-73.989329,40.717329
310200011313,JAMES BALDWIN SCHOOL (THE),351 W 18TH ST,NEW YORK,NY,10011,-74.00254,40.743407
310200011316,URBAN SCH-BUSINESS-YNG WOMEN,26 BROADWAY,NEW YORK,NY,10004,-74.013303,40.705688
310200011316,URBAN SCH-BUSINESS-YNG WOMEN,26 BROADWAY,NEW YORK,NY,10004,-74.013303,40.705688
310200011374,GRAMERCY ARTS HIGH SCHOOL,40 IRVING PL,NEW YORK,NY,10003,-73.987064,40.735361
310200011376,NYC ISCHOOL,131 AVE OF THE AMERICAS,NEW YORK,NY,10013,-74.005058,40.72463
310200011392,MANHATTAN BUSINESS ACADEMY,351 W 18TH ST,NEW YORK,NY,10011,-74.00254,40.743407
310200011393,BUSINESS OF SPORTS SCHOOL,439 W 49TH ST,NEW YORK,NY,10019,-73.990318,40.763655
310200011394,EMMA LAZARUS HIGH SCHOOL,100 HESTER ST,NEW YORK,NY,10002,-73.993607,40.716231
310200011399,HIGH SCHOOL-LANGUAGE AND DIPLOMACY,40 IRVING PL,NEW YORK,NY,10003,-73.987064,40.735361
310200011400,HS FOR ENVIRONMENTAL STUDIES,444 W 56TH ST,NEW YORK,NY,100193602,-73.98861,40.767848
310200011400,HS FOR ENVIRONMENTAL STUDIES,444 W 56TH ST,NEW YORK,NY,100193602,-73.98861,40.767848
310200011407,INST FOR COLLABORATIVE EDUCATION,345 E 15TH ST,NEW YORK,NY,10003,-73.98259,40.732665
310200011408,PROFESSIONAL PERF ARTS HIGH SCHOOL,328 W 48TH ST,NEW YORK,NY,100361302,-73.988665,40.761327
310200011411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,55 E 25TH ST,NEW YORK,NY,10010,-73.985723,40.741888
310200011419,LANDMARK HIGH SCHOOL,351 W 18TH ST,NEW YORK,NY,10011,-74.00254,40.743407
310200011420,HS-HEALTH PROFESSIONS & HUMAN SVCS,345 E 15TH ST,NEW YORK,NY,100034002,-73.98259,40.732665
310200011422,QUEST TO LEARN,351 W 18TH ST,NEW YORK,NY,10011,-74.00254,40.743407
310200011425,LEADERSHIP & PUBLIC SERVICE HIGH SCH,90 TRINITY PL,NEW YORK,NY,100061524,-74.012465,40.708971
310200011427,MANHATTAN ACAD-ARTS AND LANGUAGE,111 E 33RD ST,NEW YORK,NY,10016,-73.98107,40.74651
310200011432,MURRAY HILL ACADEMY,111 E 33RD ST,NEW YORK,NY,10016,-73.98107,40.74651
310200011437,HUDSON HS OF LEARNING TECHNOLOGIES,351 W 18TH ST,NEW YORK,NY,10011,-74.00254,40.743407
310200011438,INTERNATIONAL HS AT UNION SQUARE,40 IRVING PL,NEW YORK,NY,10003,-73.987064,40.735361
310200011439,MANHATTAN VILLAGE ACADEMY,43 W 22ND ST,NEW YORK,NY,100105101,-73.991966,40.741963
310200011442,BALLET TECH/NYC PS FOR DANCE,890 BROADWAY,NEW YORK,NY,10003,-73.989481,40.738521
310200011449,VANGUARD HIGH SCHOOL,317 E 67TH ST-RM 401,NEW YORK,NY,100656003,-73.959777,40.765638
310200011459,MANHATTAN INTERNATIONAL HIGH SCHOOL,317 E 67TH ST,NEW YORK,NY,100656003,-73.959777,40.765638
310200011475,STUYVESANT HIGH SCHOOL,345 CHAMBERS ST,NEW YORK,NY,102821099,-74.013921,40.718025
310200011489,HIGH SCHOOL OF ECONOMICS & FINANCE,100 TRINITY PL,NEW YORK,NY,100061594,-74.012328,40.70927
310200011500,UNITY CENTER FOR URBAN TECHNOLOGIES,111 E 33RD ST,NEW YORK,NY,10016,-73.98107,40.74651
310200011507,URBAN ASSEMBLY GATEWAY SCHOOL-TECH,439 W 49TH ST,NEW YORK,NY,10019,-73.990318,40.763655
310200011519,TALENT UNLIMITED HIGH SCHOOL,317 E 67TH ST,NEW YORK,NY,100656003,-73.959777,40.765638
310200011520,MURRY BERGTRAUM HS FOR BUS CAR,411 PEARL ST,NEW YORK,NY,100381433,-74.000851,40.711441
310200011529,JACQUELINE KENNEDY-ONASSIS HIGH SCH,120 W 46TH ST,NEW YORK,NY,100368501,-73.98346,40.757626
310200011531,REPERTORY COMPANY HS FOR THEATRE ART,123 W 43RD ST,NEW YORK,NY,100366507,-73.984381,40.756089
310200011533,UNION SQUARE ACAD FOR HEALTH SCIENCE,40 IRVING PL,NEW YORK,NY,10003,-73.987064,40.735361
310200011534,HARVEST COLLEGIATE HIGH SCHOOL,34 W 14TH ST,NEW YORK,NY,10011,-73.995731,40.736416
310200011542,MANHATTAN BRIDGES HIGH SCHOOL,525 W 50TH ST,NEW YORK,NY,10019,-73.9927,40.765474
310200011543,NEW DESIGN HIGH SCHOOL,350 GRAND ST,NEW YORK,NY,10002,-73.989329,40.717329
310200011544,INDEPENDENCE HIGH SCHOOL,850 10TH AVE,NEW YORK,NY,10019,-73.98861,40.767848
310200011544,INDEPENDENCE HIGH SCHOOL,850 10TH AVE,NEW YORK,NY,10019,-73.98861,40.767848
310200011545,HS-DUAL LANGUAGE & ASIAN STUDIES,350 GRAND ST,NEW YORK,NY,10002,-73.989329,40.717329
310200011546,ACADEMY FOR SOFTWARE ENGINEERING,40 IRVING PL,NEW YORK,NY,10003,-73.987064,40.735361
310200011550,LIBERTY HIGH SCH ACAD-NEWCOMERS,250 W 18TH ST,NEW YORK,NY,100114401,-74.000238,40.74182
